exam_name,section_title,case_study_title,visit_title,question_text,question_type,max_question_points,option_1,option_2,option_3,option_4,correct_option,tag_1_category,tag_1_area,tag_2_category,tag_2_area
"Empty Exam for CSV Import (11 Sections)","Section 11: Career Transitions","Clinical Case Study 11","Session 1","Master Question 11: [Topic: Career Transitions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 1: Foundations of Counseling","Clinical Case Study 1","Session 1","Master Question 12: [Topic: Foundations of Counseling] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 2: Clinical Assessment","Clinical Case Study 2","Session 1","Master Question 13: [Topic: Clinical Assessment] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 3: DSM-5 Diagnosis","Clinical Case Study 3","Session 1","Master Question 14: [Topic: DSM-5 Diagnosis] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 4: Treatment Planning","Clinical Case Study 4","Session 1","Master Question 15: [Topic: Treatment Planning] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 5: Cognitive Interventions","Clinical Case Study 5","Session 1","Master Question 16: [Topic: Cognitive Interventions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 6: Ethical Standards","Clinical Case Study 6","Session 1","Master Question 17: [Topic: Ethical Standards] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 7: Multicultural Issues","Clinical Case Study 7","Session 1","Master Question 18: [Topic: Multicultural Issues] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 8: Lifespan Development","Clinical Case Study 8","Session 1","Master Question 19: [Topic: Lifespan Development] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 9: Research and Evaluation","Clinical Case Study 9","Session 1","Master Question 20: [Topic: Research and Evaluation] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 10: Group Process","Clinical Case Study 10","Session 1","Master Question 21: [Topic: Group Process] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 11: Career Transitions","Clinical Case Study 11","Session 1","Master Question 22: [Topic: Career Transitions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 1: Foundations of Counseling","Clinical Case Study 1","Session 1","Master Question 23: [Topic: Foundations of Counseling] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 2: Clinical Assessment","Clinical Case Study 2","Session 1","Master Question 24: [Topic: Clinical Assessment] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Research and Program Evaluation"
"Empty Exam for CSV Import (11 Sections)","Section 3: DSM-5 Diagnosis","Clinical Case Study 3","Session 1","Master Question 25: [Topic: DSM-5 Diagnosis] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 4: Treatment Planning","Clinical Case Study 4","Session 1","Master Question 26: [Topic: Treatment Planning] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 5: Cognitive Interventions","Clinical Case Study 5","Session 1","Master Question 27: [Topic: Cognitive Interventions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 6: Ethical Standards","Clinical Case Study 6","Session 1","Master Question 28: [Topic: Ethical Standards] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 7: Multicultural Issues","Clinical Case Study 7","Session 1","Master Question 29: [Topic: Multicultural Issues] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Research and Program Evaluation"
"Empty Exam for CSV Import (11 Sections)","Section 8: Lifespan Development","Clinical Case Study 8","Session 1","Master Question 30: [Topic: Lifespan Development] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 9: Research and Evaluation","Clinical Case Study 9","Session 1","Master Question 31: [Topic: Research and Evaluation] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 10: Group Process","Clinical Case Study 10","Session 1","Master Question 32: [Topic: Group Process] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 11: Career Transitions","Clinical Case Study 11","Session 1","Master Question 33: [Topic: Career Transitions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 1: Foundations of Counseling","Clinical Case Study 1","Session 1","Master Question 34: [Topic: Foundations of Counseling] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 2: Clinical Assessment","Clinical Case Study 2","Session 1","Master Question 35: [Topic: Clinical Assessment] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 3: DSM-5 Diagnosis","Clinical Case Study 3","Session 1","Master Question 36: [Topic: DSM-5 Diagnosis] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 4: Treatment Planning","Clinical Case Study 4","Session 1","Master Question 37: [Topic: Treatment Planning] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Human Growth and Development"
"Empty Exam for CSV Import (11 Sections)","Section 5: Cognitive Interventions","Clinical Case Study 5","Session 1","Master Question 38: [Topic: Cognitive Interventions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 6: Ethical Standards","Clinical Case Study 6","Session 1","Master Question 39: [Topic: Ethical Standards] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 7: Multicultural Issues","Clinical Case Study 7","Session 1","Master Question 40: [Topic: Multicultural Issues] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 8: Lifespan Development","Clinical Case Study 8","Session 1","Master Question 41: [Topic: Lifespan Development] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Research and Program Evaluation"
"Empty Exam for CSV Import (11 Sections)","Section 9: Research and Evaluation","Clinical Case Study 9","Session 1","Master Question 42: [Topic: Research and Evaluation] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Human Growth and Development"
"Empty Exam for CSV Import (11 Sections)","Section 10: Group Process","Clinical Case Study 10","Session 1","Master Question 43: [Topic: Group Process] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Research and Program Evaluation"
"Empty Exam for CSV Import (11 Sections)","Section 11: Career Transitions","Clinical Case Study 11","Session 1","Master Question 44: [Topic: Career Transitions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Empty Exam for CSV Import (11 Sections)","Section 1: Foundations of Counseling","Clinical Case Study 1","Session 1","Master Question 45: [Topic: Foundations of Counseling] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Intake, Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 2: Clinical Assessment","Clinical Case Study 2","Session 1","Master Question 46: [Topic: Clinical Assessment] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 3: DSM-5 Diagnosis","Clinical Case Study 3","Session 1","Master Question 47: [Topic: DSM-5 Diagnosis] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Research and Program Evaluation"
"Empty Exam for CSV Import (11 Sections)","Section 4: Treatment Planning","Clinical Case Study 4","Session 1","Master Question 48: [Topic: Treatment Planning] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Research and Program Evaluation"
"Empty Exam for CSV Import (11 Sections)","Section 5: Cognitive Interventions","Clinical Case Study 5","Session 1","Master Question 49: [Topic: Cognitive Interventions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Group Counseling and Group Work"
"Empty Exam for CSV Import (11 Sections)","Section 6: Ethical Standards","Clinical Case Study 6","Session 1","Master Question 50: [Topic: Ethical Standards] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 7: Multicultural Issues","Clinical Case Study 7","Session 1","Master Question 51: [Topic: Multicultural Issues] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Human Growth and Development"
"Empty Exam for CSV Import (11 Sections)","Section 8: Lifespan Development","Clinical Case Study 8","Session 1","Master Question 52: [Topic: Lifespan Development] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",1,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Human Growth and Development"
"Empty Exam for CSV Import (11 Sections)","Section 9: Research and Evaluation","Clinical Case Study 9","Session 1","Master Question 53: [Topic: Research and Evaluation] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Human Growth and Development"
"Empty Exam for CSV Import (11 Sections)","Section 10: Group Process","Clinical Case Study 10","Session 1","Master Question 54: [Topic: Group Process] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Treatment Planning Counseling Skills","CACREP Areas","Human Growth and Development"
"Empty Exam for CSV Import (11 Sections)","Section 11: Career Transitions","Clinical Case Study 11","Session 1","Master Question 55: [Topic: Career Transitions] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Empty Exam for CSV Import (11 Sections)","Section 1: Foundations of Counseling","Clinical Case Study 1","Session 1","Master Question 56: [Topic: Foundations of Counseling] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 2: Clinical Assessment","Clinical Case Study 2","Session 1","Master Question 57: [Topic: Clinical Assessment] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",3,"Counselor Work Behavior Areas (Domains)","Counseling Skills and Interventions","CACREP Areas","Social and Cultural Diversity"
"Empty Exam for CSV Import (11 Sections)","Section 3: DSM-5 Diagnosis","Clinical Case Study 3","Session 1","Master Question 58: [Topic: DSM-5 Diagnosis] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",2,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Assessment and Testing"
"Empty Exam for CSV Import (11 Sections)","Section 4: Treatment Planning","Clinical Case Study 4","Session 1","Master Question 59: [Topic: Treatment Planning] Based on the clinical data, what is the best ethical approach?",single,1,"Option A: Clinical protocol prioritized for the patient.","Option B: Secondary diagnostic evaluation required.","Option C: Consultation with a multi-disciplinary team.","Option D: Immediate documentation and ethical review.",4,"Counselor Work Behavior Areas (Domains)","Core Counselor Attributes","CACREP Areas","Social and Cultural Diversity"
